id;content;content_content_type;create_date
1;../fake-data/blob/hipster.png;image/png;2021-10-20T04:36:17
2;../fake-data/blob/hipster.png;image/png;2021-10-19T23:59:04
3;../fake-data/blob/hipster.png;image/png;2021-10-20T01:47:59
4;../fake-data/blob/hipster.png;image/png;2021-10-19T15:13:22
5;../fake-data/blob/hipster.png;image/png;2021-10-20T05:42:00
6;../fake-data/blob/hipster.png;image/png;2021-10-19T13:28:06
7;../fake-data/blob/hipster.png;image/png;2021-10-19T23:21:41
8;../fake-data/blob/hipster.png;image/png;2021-10-19T19:59:55
9;../fake-data/blob/hipster.png;image/png;2021-10-20T01:07:03
10;../fake-data/blob/hipster.png;image/png;2021-10-19T06:31:29
